BUDGET,POPULARITY,REVENUE,RUNTIME,VOTE_AVERAGE,VOTE_COUNT,release_year,release_month,New_Budget,New_Revenue,New_Vote_Avg
4000000,96.778,41063475,132.0,8.3,7996,2017,1,4516000,46360663,8
23934823,68.271,2078370,119.0,6.4,92,2019,8,25830460,2242976,6
9000000,67.735,111928365,104.0,6.6,4677,2014,7,10468800,130195074,7
40000000,65.77,458863600,89.0,6.4,12211,2014,7,46528000,533750139,6
75000000,71.358,527068851,87.0,7.0,5758,2007,7,100845000,708696777,7
150000000,72.607,928760770,93.0,7.1,8123,2004,5,221055000,1368714746,7
22000000,59.477,365550119,96.0,5.8,4195,2018,5,24321000,404115656,6
250000000,70.786,1405403694,141.0,7.3,16636,2015,4,286400000,1610030471,7
20000000,65.869,67200000,108.0,6.3,1016,1998,3,33782000,113507520,6
8820000,72.368,87547518,118.0,7.7,4088,2016,7,10083906,100093077,8
140000000,65.176,622674139,119.0,7.0,8954,2018,4,154770000,688366260,7
84000000,74.269,275650703,88.0,5.9,2882,2002,6,128612399,422048791,6
48000000,64.861,325771424,109.0,6.2,4151,2014,12,55833600,378937320,6
97000000,59.283,232380243,122.0,6.0,5997,2017,9,109513000,262357294,6
185000000,68.68,566652812,118.0,6.4,7495,2017,8,208865000,639751024,6
52000000,49.731,894027543,135.0,8.0,12031,2018,10,57485999,988347448,8
200000000,59.76,863756051,137.0,7.6,15518,2017,4,225800000,975180581,8
36,65.122,18,97.0,5.1,441,2019,6,38,19,5
250000000,60.955,1153296293,147.0,7.4,16916,2016,4,285825000,1318563651,7
120000000,62.057,221600160,109.0,6.0,3129,2017,10,135480000,250186580,6
15000000,51.879,5600000,87.0,6.0,218,1996,8,26689500,9964080,6
4500000,60.067,3606395,104.0,6.0,654,2009,7,5665050,4540090,6
40000000,68.164,117195061,77.0,7.4,5795,2005,12,57408000,168198351,7
100000000,60.385,83672673,129.0,6.1,2990,2018,11,110550000,92500140,6
51000000,60.58,35808437,97.0,6.3,1725,2018,8,56380500,39586227,6
200000000,55.874,653355901,134.0,6.9,7321,2018,11,221100000,722284948,7
120000000,73.038,829000000,115.0,6.4,6522,2012,11,144564000,998696300,6
111000000,59.641,295038508,107.0,7.2,1964,2017,9,125319000,333098475,7
7000,64.493,545436,77.0,6.9,1374,2004,8,10315,803809,7
150000000,71.586,1274219009,102.0,7.3,12420,2013,11,177045000,1503960696,7
145000000,65.327,521170825,95.0,6.8,3785,2016,1,165778500,595854604,7
50000000,71.947,44664690,121.0,5.4,2062,2019,10,53960000,48202133,5
37000000,71.879,393616788,122.0,6.2,9700,2008,11,48370100,514575226,6
200000000,52.142,1214811252,130.0,6.9,16717,2013,4,236059999,1433841720,7
80000000,50.301,473226958,89.0,6.8,4022,2015,9,91648000,542128803,7
200000000,60.779,708962323,142.0,6.4,8718,2014,4,232640000,824664974,6
14000000,59.231,8621288,90.0,6.6,1417,2020,11,14840000,9138565,7
25000000,58.372,5958315,110.0,5.6,606,2019,3,26980000,6430213,6
62000000,58.4,288175335,144.0,7.1,5152,2018,10,68541000,318577832,7
90000000,56.59,962102237,119.0,6.8,9848,2017,9,101610000,1086213425,7
180000000,60.479,407602906,131.0,6.8,9040,2013,11,212453999,481093709,7
34000000,54.217,226945087,113.0,7.5,10867,2017,6,38386000,256221003,8
24000000,37.658,99965753,89.0,6.0,2210,2007,11,32270400,134413951,6
58800000,47.985,542307423,133.0,7.4,9569,2014,11,68396160,630811994,7
29000000,52.438,26925979,83.0,6.6,357,2020,9,30740000,28541537,7
160000000,60.975,1263521126,129.0,7.0,12856,2017,3,180640000,1426515351,7
100000000,49.868,525573161,107.0,7.4,11814,2017,7,112900000,593372098,7
125000000,62.38,477200000,101.0,5.9,5140,2014,7,145400000,555079040,6
175000000,38.95,746846894,123.0,5.9,16385,2016,3,200077500,853870053,6
110000000,73.269,473990832,114.0,6.2,6177,2015,5,126016000,543003897,6
15000000,47.764,306515884,109.0,6.5,4021,2017,3,16935000,346056433,6
68000000,56.31,211817906,135.0,7.5,8423,2014,10,79097600,246386588,8
88000000,63.809,243637091,105.0,5.7,5578,2015,7,100812800,279110651,6
69000000,50.929,177856751,116.0,6.1,5983,2017,12,77901000,200800271,6
12000000,55.879,32726956,93.0,6.9,189,2012,6,14456400,39426163,7
12000000,52.503,100000000,88.0,6.6,4065,2012,1,14456400,120470000,7
170000000,49.216,215832199,112.0,6.7,3167,2019,3,183464000,232926109,7
5000000,48.936,86362372,84.0,5.4,955,2014,1,5816000,100456711,5
29900000,54.255,44400000,96.0,7.1,369,2019,8,32268079,47916480,7
125000000,69.375,752100229,123.0,6.8,11948,2014,11,145400000,874842986,7
165000000,60.332,752600867,93.0,6.2,4955,2010,5,208428000,950685415,6
60000000,40.373,286801374,189.0,8.5,11063,1999,10,99798000,477036725,8
20000000,46.506,208588,113.0,5.9,913,2015,3,22912000,238958,6
60000000,45.455,59213931,119.0,5.6,1595,2019,7,64751999,63903674,6
40000000,63.927,191540586,135.0,8.0,2937,2019,12,43168000,206710600,8
130000000,59.988,348807090,131.0,6.5,2390,2018,12,143715000,385606237,6
10000000,54.975,18610260,88.0,5.6,1302,2007,10,13446000,25023355,6
200000000,52.561,2187463944,194.0,7.9,17848,1997,11,345720000,3781250173,8
30000000,62.076,231252591,106.0,6.4,1987,2019,6,32375999,249567796,6
180000000,60.37,809342332,133.0,7.4,14542,2016,11,205794000,925321088,7
140000000,48.913,585174222,126.0,7.6,19202,2008,4,183022000,764998260,8
20000000,51.722,41627431,115.0,6.7,1567,2008,4,26145999,54419540,7
30000000,54.239,287553595,108.0,6.2,3420,2001,10,47232000,452724379,6
200000000,51.039,1065659812,151.0,7.3,11475,2006,6,277640000,1479348951,7
95000000,51.531,877244782,88.0,6.3,5582,2012,6,114446500,1056816788,6
139000000,72.418,821708551,121.0,7.2,12456,2002,1,212822900,1258117962,7
40000000,50.541,320392818,134.0,7.2,5383,2016,5,45732000,366305108,7
155000000,58.352,440603537,126.0,5.9,6319,2015,6,177568000,504755411,6
145000000,50.323,609123048,102.0,7.7,6956,2014,9,168664000,708531929,8
200000000,52.198,1332539889,152.0,6.9,11122,2017,12,225800000,1504437534,7
68000000,60.081,698491347,124.0,6.2,6342,2010,6,85897600,882334269,6
94000000,49.077,274650803,118.0,6.3,5634,2018,5,103917000,303626462,6
250000000,53.465,873634919,152.0,5.9,13906,2016,3,285825000,998826802,6
258000000,59.896,890871626,139.0,6.2,9044,2007,1,346906800,1197865988,6
30000000,54.883,373554033,81.0,7.9,13021,1995,10,54876000,683305037,8
18300000,47.149,112790210,141.0,7.9,158,2018,1,20230650,124689577,8
20000000,50.065,92924405,132.0,7.3,1266,2017,3,22580000,104911653,7
140000000,56.942,655011224,143.0,7.7,15060,2003,9,210994000,987167415,8
22000000,49.592,851517,112.0,5.9,445,2010,3,27790400,1075636,6
230000000,46.48,794861794,129.0,6.6,8649,2017,5,259670000,897398965,7
20000000,53.837,121463226,113.0,7.1,4630,2007,3,26892000,163319453,7
105000000,52.84,408579038,95.0,6.0,3147,2016,6,120046500,467128414,6
35000000,48.593,469310836,100.0,7.3,12552,2009,2,44061500,590815411,7
93000000,60.037,871368364,178.0,8.3,17845,2001,12,146419200,1371882352,8
140000000,46.672,268031828,150.0,5.8,3448,2014,3,162848000,311774622,6
175000000,64.972,857611174,95.0,7.9,15533,2015,9,200480000,982479360,8
15000000,50.283,15200000,104.0,6.4,283,2019,1,16187999,16403839,6
165000000,49.847,494878759,100.0,7.8,9417,2010,10,208428000,625130848,8
150000000,65.267,1023784195,109.0,7.7,12227,2016,11,171495000,1170492470,8
110000000,65.657,712171856,117.0,6.1,6459,2011,11,136708000,885087182,6
90000000,58.3,146936910,106.0,5.9,2697,2015,10,103104000,168330924,6
79000000,54.544,926287400,179.0,8.3,15411,2002,12,120956899,1418238638,8
150000000,60.401,378858340,121.0,7.5,17068,2015,5,171840000,434020114,8
190000000,59.139,1515047671,137.0,7.3,7839,2015,1,217664000,1735638611,7
59000000,54.111,383257136,81.0,7.3,9358,2002,10,90334900,586805000,7
104000000,53.662,410902662,141.0,7.0,7074,2017,9,117416000,463909105,7
35000000,51.317,75836683,123.0,6.8,2039,2018,6,38692500,83837453,7
7000000,53.707,3719383,90.0,6.3,707,2017,3,7903000,4199183,6
62000000,50.105,102084362,122.0,6.5,3026,2018,7,68541000,112854262,6
11936735,58.435,66925842,98.0,7.7,148,2019,11,12882124,72226368,8
80000000,46.964,660998756,91.0,6.6,7191,2006,3,111056000,917598473,7
250000000,51.042,1081041287,165.0,7.7,16756,2012,7,301175000,1302330438,8
35000000,48.66,92503612,90.0,6.0,865,2018,11,38692500,102262743,6
250000000,53.236,1021103568,169.0,7.3,14033,2012,11,301175000,1230123468,7
60000000,37.623,205754447,99.0,6.1,3301,2016,2,68598000,235239059,6
25000000,40.135,48818723,102.0,6.6,1253,2018,6,27637500,53969098,7
40000000,48.377,309232797,131.0,7.9,5718,2019,11,43168000,333724034,8
50000000,53.774,234989584,113.0,6.2,3296,2012,4,60235000,283091951,6
50000000,43.029,351266433,93.0,6.7,1050,2018,7,55275000,388325041,7
18000000,54.733,17643857,96.0,6.8,487,2019,10,19425600,19041250,7
100000000,46.209,190514361,106.0,6.7,1258,2019,1,107920000,205603098,7
1200000,59.23,103911669,103.0,7.4,6047,2004,1,1768440,153134626,7
19000000,54.27,274925095,125.0,8.5,10262,2001,7,29913600,432842069,8
165000000,49.222,471222889,101.0,7.3,9315,2012,1,198775500,567682214,7
5000000,42.87,54418872,103.0,6.9,1757,2015,8,5728000,62342259,7
150000000,45.547,449326618,115.0,6.8,15470,2011,4,186420000,558423120,7
170000000,44.697,644571402,112.0,6.6,12502,2013,10,200650999,760787625,7
200000000,45.788,623933331,124.0,6.8,15030,2010,4,252640000,788152583,7
35000000,38.35,67131266,130.0,6.0,1917,2018,1,38692500,74213614,6
150000000,48.675,488533726,140.0,7.1,6327,2017,11,169350000,551554576,7
177200000,52.878,225874228,136.0,6.6,5318,2017,7,200058800,255012003,7
300000000,44.734,961000000,169.0,7.2,10250,2007,5,403380000,1292160600,7
140000000,43.086,150680864,127.0,5.6,2953,2016,2,160062000,172273431,6
40000000,47.004,31672678,122.0,6.6,1253,2018,10,44220000,35014145,7
50000000,54.082,709827462,131.0,6.0,6660,2009,11,62944999,893601791,6
20000000,56.481,207945075,110.0,7.8,7987,2016,1,22866000,237743604,8
217000000,46.714,605425157,149.0,6.0,4119,2017,6,244993000,683525002,6
45000000,63.058,763455561,89.0,8.2,13069,1994,6,84465000,1433006087,8
108000000,50.027,630161890,141.0,7.7,14719,2015,9,123724800,721913461,8
61000000,58.009,312296056,132.0,6.7,7538,2015,9,69881600,357766361,7
200000000,51.595,1066969703,103.0,7.8,10713,2010,6,252640000,1347796128,8
3500000,44.03,7766240,98.0,6.1,481,2007,9,4706100,10442486,6
85000000,37.245,252712101,93.0,7.5,5170,1997,6,146931000,436838137,8
5000000,32.402,23507567,121.0,6.0,272,2016,1,5716500,26876201,6
130000000,34.345,321885765,96.0,6.9,4638,2010,10,164216000,406606098,7
95000000,24.481,190213455,112.0,5.9,1608,2000,4,154631500,309610440,6
60000000,24.931,256697520,108.0,6.4,2691,2004,7,88422000,378295135,6
14000000,36.88,10076790,108.0,6.4,942,2014,10,16284800,11721322,6
50000000,47.322,97437106,95.0,7.5,1674,2014,1,58160000,113338841,8
2000000,46.573,2006704,105.0,5.0,314,2018,7,2211000,2218411,5
30000000,46.414,140161792,87.0,6.8,1685,2004,11,44211000,206556432,7
115000000,56.334,562816256,92.0,7.8,13269,2001,1,181056000,886097913,8
95000000,42.964,374251247,162.0,7.5,7417,2019,7,102524000,403891945,8
176000003,43.743,183987723,127.0,5.4,5205,2015,4,201625603,210776335,5
100000000,60.638,392000694,180.0,8.0,16148,2013,12,118029999,462678419,8
10000000,46.38,28646544,85.0,7.4,759,2018,7,11055000,31668754,7
245000000,46.309,2068223624,136.0,7.4,15019,2015,12,280672000,2369356983,7
15000,52.052,193355800,86.0,5.9,3483,2009,9,18883,243415616,6
120000000,49.919,59522646,99.0,6.1,1535,2018,10,132659999,65802285,6
40000000,41.691,120654337,139.0,7.5,3491,2006,7,55528000,167492350,8
94000000,57.065,1118888979,201.0,8.5,16375,2003,1,141667400,1686277580,8
12000000,45.011,24829644,87.0,5.3,881,2004,11,17684400,36591446,5
40000000,49.15,173930596,109.0,6.9,7953,2011,10,49711999,216160944,7
160000000,38.934,825532764,148.0,8.3,27342,2010,7,202112000,1042812987,8
38000000,42.486,41657844,110.0,6.7,1825,2018,1,42009000,46052746,7
5000000,42.711,205703818,83.0,5.9,1496,2011,10,6213999,255648705,6
150000000,51.053,474968763,115.0,7.0,10455,2005,7,215280000,681675168,7
55000000,35.687,29819114,134.0,6.8,1475,2017,12,62095000,33665779,7
50000000,44.498,113244290,92.0,6.6,2405,2008,1,65364999,148044260,7
210000000,48.976,1104054072,165.0,5.9,5770,2014,6,244272000,1284235696,6
200000000,49.422,531865000,116.0,6.8,11277,2013,6,236059999,627760259,7
90000000,43.866,334901337,129.0,6.8,8236,2016,2,102897000,382892698,7
2500000,33.691,6341684,99.0,5.1,1965,2015,6,2864000,7265033,5
90000000,49.582,886686817,94.0,6.7,5847,2009,6,113300999,1116250033,7
80000,43.082,21000000,97.0,4.0,3,2020,3,84800,22260000,4
95000000,38.873,73515024,110.0,4.4,507,2019,12,102524000,79337413,4
85000000,42.437,358375603,91.0,6.9,6222,2012,9,102399500,431735088,7
45000000,51.335,72281712,152.0,7.1,2197,2019,10,48564000,78006423,7
250000000,52.797,392952373,135.0,6.6,5680,2018,5,276375000,434408848,7
4200000,38.574,5835247,88.0,6.8,509,1990,10,9187920,12765186,7
80000000,49.265,1031552585,96.0,6.4,5141,2017,6,90320000,1164622868,6
250000000,44.856,958400000,161.0,7.6,9341,2013,11,295075000,1131199520,8
30000000,35.333,210819611,112.0,7.4,6657,2009,5,37767000,265400808,7
25000000,39.633,226830568,94.0,7.3,8107,2008,2,32682499,296535601,7
18300000,38.989,125983972,139.0,7.9,289,2017,12,20660700,142235904,8
150000000,51.325,374218673,140.0,7.7,15041,2005,10,215280000,537078639,8
26000000,46.984,18377736,145.0,6.8,656,2019,10,28059200,19833252,7
85000000,48.374,346147658,107.0,5.7,3136,2017,1,95965000,390800705,6
103000000,36.367,362000072,100.0,6.2,6321,2013,5,121570899,427268684,6
9000000,49.624,278454358,117.0,7.3,12946,2017,9,10161000,314374970,7
130000000,34.156,185258983,163.0,7.3,6311,2009,5,163657000,233222533,7
95000000,40.96,543514353,105.0,6.8,5506,2015,12,108832000,622650042,7
16000000,38.663,20545116,107.0,6.7,230,2018,6,17688000,22712625,7
215000000,62.282,757930663,136.0,6.6,12207,2012,6,259010500,913079069,7
80000000,37.108,254455986,102.0,6.4,7626,2011,5,99423999,316237899,6
16000000,46.894,31556061,100.0,5.6,2294,2009,9,20142400,39725925,6
180000000,38.354,745013115,143.0,7.1,7295,2005,7,258336000,1069242822,7
207000000,42.101,562363449,187.0,6.8,5492,2005,12,297086400,807104022,7
14000000,40.517,233555708,113.0,8.0,12654,2014,11,16284800,271671999,8
150000000,37.934,331957105,103.0,5.9,3546,2016,12,171495000,379526558,6
30000000,41.575,114908830,97.0,5.9,1521,2003,8,45213000,173179097,6
175000000,42.983,966550600,106.0,6.8,6304,2016,7,200077500,1105057300,7
30000000,40.309,48428063,79.0,6.8,2441,2009,8,37767000,60966088,7
37000000,41.565,173567581,133.0,7.4,5030,2015,11,42387200,198839020,7
7000000,43.357,5021219,93.0,5.3,1233,2009,6,8812300,6321212,5
150000000,45.024,623722818,111.0,7.7,11583,2007,6,201690000,838657701,8
260000000,39.319,592461732,100.0,7.6,8035,2010,11,328432000,748397659,8
40000000,48.581,126069509,97.0,5.4,3229,2014,7,46528000,146644052,5
160000000,46.052,653428261,137.0,6.9,9139,2015,11,183296000,748567415,7
178000000,37.794,370541256,113.0,7.6,9886,2014,5,207049600,431013588,8
80000000,43.232,271430189,102.0,6.3,4064,2010,6,101056000,342870614,6
150000000,42.931,163712074,114.0,6.2,7948,2008,12,196095000,214020794,6
102000000,43.827,520000000,137.0,8.0,8560,1991,3,211721400,1079364000,8
9000000,39.507,122033739,93.0,5.7,1388,2019,4,9712800,131698811,6
4000000,38.525,25343661,87.0,6.0,876,2014,4,4652800,29479746,6
4000000,42.701,17964238,109.0,7.6,2019,2019,10,4316800,19387005,8
4000000,44.102,5132274,96.0,6.3,322,2018,4,4422000,5673728,6
70000000,26.276,123081555,101.0,6.5,629,2017,9,79030000,138959075,6
22000000,37.316,43058898,100.0,6.9,2242,2013,12,25966599,50822417,7
76000000,37.506,970761885,98.0,6.9,8642,2013,6,89702800,1145790252,7
