BUDGET,POPULARITY,REVENUE,VOTE_AVERAGE,VOTE_COUNT,TAGLINE,release_year,release_month,New_Budget,New_Revenue,New_Vote_Avg
109000000,106.577,107604626,7.5,1913,Based on the legendary novel,2020,2,115540000,114060903,8
80000000,113.162,100176000,6.9,2663,Family vacation. It will suck the life out of you.,2018,6,88440000,110744568,7
48000000,103.945,73279888,6.7,1617,Unseen. Undivided. Unstoppable.,2019,11,51801600,79083655,7
100000000,110.301,171616764,7.8,1675,Super Spy. Super Fly.,2019,4,107920000,185208811,8
170000000,97.292,1303459585,6.6,8183,The park is gone,2018,6,187935000,1440974571,7
150000000,106.53,530243742,6.1,4512,Chomp On This,2018,9,165825000,586184456,6
175000000,105.473,582890172,7.6,10242,A better reality awaits.,2018,3,193462500,644385085,8
180000000,96.494,853977126,7.6,14722,No Hammer. No Problem.,2017,10,203220000,964140175,8
80000000,104.518,363533271,7.0,5632,Just say the word.,2019,3,86336000,392325106,7
175000000,98.783,880166924,7.4,14993,Homework can wait. The city can't.,2017,5,197575000,993708457,7
22000000,74.719,114996853,7.7,1973,Criminal. Class.,2020,1,23320000,121896664,8
40000000,104.545,175302354,8.1,8722,One of the greatest heroes in American history never fired a bullet.,2016,7,45732000,200423181,8
150000000,104.04,895921036,7.8,14173,Dark And Difficult Times Lie Ahead.,2005,11,215280000,1285825870,8
125000000,113.9,976475550,7.9,18371,Let the Magic Begin.,2001,11,196800000,1537363105,8
49000000,107.792,116826172,6.8,1049,Explorer is her middle name.,2019,8,52880800,126078804,7
40000000,93.215,62771059,5.6,502,What Hath God Wrought?,2007,5,53784000,84401965,6
130000000,95.712,789804554,8.0,14819,Something wicked this way comes.,2004,5,191581000,1163934971,8
11363000,96.697,257591776,8.5,9422,Act like you own the place.,2019,5,12262949,277993044,8
70000000,80.716,297718711,7.0,5619,Every con has its pros,2018,7,77385000,329128035,7
149000000,80.768,821847012,7.3,15305,Power. Grace. Wisdom. Wonder.,2017,5,168221000,927865276,7
110000000,91.059,741547413,7.5,12198,Prepare for the Second Coming.,2018,10,121604999,819780665,8
125000000,134.69,292351275,6.3,3349,Don't look down,2018,11,138187500,323194334,6
200000000,90.108,1346739107,7.4,16133,Long live the king.,2018,2,221100000,1488820082,7
200000000,88.18,1242805359,7.6,9189,Back to work.,2018,6,221100000,1373921324,8
34000000,96.338,31329947,6.7,1331,Never make the weapon the target,2019,6,36692800,33811278,7
88000000,88.201,160542134,5.5,3035,The hunt has evolved,2018,5,97284000,177479329,6
40000000,86.431,17976667,5.4,450,See Your Last Breath,2009,9,50356000,22630826,5
75000000,89.877,111615070,7.6,1201,Find your way home.,2019,9,80940000,120454983,8
15000000,23.126,146497771,6.2,3015,A Mother's Love is Forever,2013,1,17704500,172911319,6
25000000,23.873,123276807,6.6,2176,You'll learn to love her. Warts and all.,2005,10,35880000,176926873,7
125000000,28.405,544272402,6.4,5506,Where will you be?,2004,5,184212500,802094238,6
97600000,80.51,225508210,7.9,3513,They took the American dream for a ride,2019,11,105329920,243368460,8
135000000,90.24,587204668,6.9,4874,Meet the first modern family.,2013,3,159340500,693077669,7
250000000,88.028,933959197,7.7,13414,Dark Secrets Revealed,2009,7,314725000,1175761233,8
160000000,83.605,1148461807,6.9,9406,Home Is Calling,2018,7,176880000,1269624527,7
150000000,96.36,259239658,7.5,8790,The key to the future is finally unearthed.,2017,4,169350000,292681573,8
28000000,91.249,39514713,6.9,1615,It's just a bunch of Hocus Pocus.,1993,7,54112800,76366134,7
13500000,83.715,89203432,6.3,1781,They were here first,2019,11,14569200,96268343,6
58000000,74.253,783100000,7.6,23690,Witness the beginning of a happy ending,2016,9,66311400,895318230,8
10000000,71.499,118587880,6.4,3667,Keep America great,2016,6,11433000,135581523,6
4000000,82.064,571006128,5.8,8714,Are you curious?,2015,11,4582400,654144620,6
50000000,76.957,214215889,6.9,3354,There's More to Lose than a Title,2018,11,55275000,236815665,7
125000000,79.327,1341511219,8.1,14488,It all ends here.,2011,7,155350000,1667230142,8
250000000,93.985,956019788,7.3,10290,Witness the defining chapter of the Middle-Earth saga,2014,10,290800000,1112042217,7
68000000,81.158,215863606,6.2,5187,"Ted is Coming, Again.",2015,6,77900800,247293347,6
120000000,77.123,426245950,6.4,4711,Big meets bigger,2018,12,132659999,471214897,6
16000000,72.63,22799033,6.8,774,Saving the Day Takes a Pair.,2019,11,17267200,24604716,7
11000000,68.209,235483004,6.5,5487,There's nothing like your first piece.,1999,9,18296300,391678880,6
110000000,76.509,296482446,6.7,7412,Stay peculiar,2016,9,125763000,338968380,7
90000000,79.279,304320254,7.9,6608,Going your own way requires the greatest courage,1998,6,152019000,514027341,8
150000000,77.774,1671713208,6.6,16090,The park is open.,2015,6,171840000,1915114651,7
250000000,73.457,954305868,7.8,13472,One Way… One Fate… One Hero.,2010,10,315800000,1205479172,8
97000000,65.785,619021436,7.8,14861,His time has come,2017,2,109513000,698875201,8
178000000,68.856,543934787,6.5,9861,Only the strong will survive,2016,5,203507400,621880641,6
165000000,72.038,677700000,7.4,15839,Open your mind. Change your reality.,2016,10,188644500,774814410,7
55000000,69.679,368307760,6.6,5556,Don't Miss the Climax,2018,1,60802499,407164228,7
237000000,80.918,2787965087,7.5,22159,Enter the World of Pandora.,2009,10,298359300,3509769248,8
20000000,69.995,246941965,6.6,5594,You Cannot Contain What You Are,2019,1,21584000,266499768,7
13000000,58.859,319494638,7.5,7540,Based on the true case files of the Warrens,2013,3,15343899,377099521,8
250000000,63.194,747862775,7.5,11791,"To save the future, they must alter the past",2014,5,290800000,869913979,8
185000000,65.354,1004558444,8.5,23458,Why So Serious?,2008,7,241850499,1313259253,8
132000000,71.332,373552094,6.5,2920,The Movie Event That Will Blow Their Cover,2014,11,153542400,434515795,6
3000000,79.541,89328627,6.2,6049,"One night a year, all crime is legal.",2013,5,3540899,105434578,6
87500000,63.394,132807427,6.1,4263,The answers we seek are just outside our reach,2019,9,94430000,143325775,6
33000000,74.088,47088457,6.8,941,The only way out is through him,2019,10,35613600,50817862,7
40000000,76.277,171539887,7.2,8331,Never stab the devil in the back,2017,8,45160000,193668532,7
150000000,58.917,290061297,6.1,3274,Rise Up,2018,3,165825000,320662763,6
34000000,88.139,348319861,7.1,12605,Remember. Survive. Run.,2014,10,39548800,405165662,7
125000000,62.526,346864462,6.7,2619,Find your happy place,2016,10,142912500,396570139,7
250000000,68.926,1238764765,6.9,7681,Family no more,2017,12,282250000,1398565419,7
35000000,67.477,701796444,7.2,14217,Your fears are unleashed,2017,6,39515000,792328185,7
40000000,81.85,43070915,6.3,5988,Fear what's inside.,2018,2,44220000,47614896,6
110000000,71.242,295238201,6.4,7958,One Choice Can Destroy You,2015,3,126016000,338224883,6
50000000,70.698,216909830,5.6,2133,Not easy being meh,2017,7,56450000,244891198,6
60000000,75.058,124596398,7.7,4365,Be careful what you wish for.,2009,5,75534000,156854405,8
135000000,65.204,467989645,6.6,3996,Every Hero Has a Beginning,2018,12,149242500,517362552,7
60000000,76.652,484409218,7.6,11313,The greatest fairy tale never told.,2001,5,94464000,762653872,8
165000000,68.43,675120017,8.3,23917,Mankind was born on Earth. It was never meant to die here.,2014,5,191928000,785299603,8
4000000,96.778,41063475,8.3,7996,Is it better to speak or die?,2017,1,4516000,46360663,8
23934823,68.271,2078370,6.4,92,Outnumbered. Outgunned. Never out of courage,2019,8,25830460,2242976,6
9000000,67.735,111928365,6.6,4677,An American tradition,2014,7,10468800,130195074,7
40000000,65.77,458863600,6.4,12211,The average person uses 10% of their brain capacity. Imagine what she could do with 100%.,2014,7,46528000,533750139,6
75000000,71.358,527068851,7.0,5758,See our family. And feel better about yours.,2007,7,100845000,708696777,7
150000000,72.607,928760770,7.1,8123,Once upon another time...,2004,5,221055000,1368714746,7
22000000,59.477,365550119,5.8,4195,Pray For Forgiveness,2018,5,24321000,404115656,6
250000000,70.786,1405403694,7.3,16636,A New Age Has Come.,2015,4,286400000,1610030471,7
20000000,65.869,67200000,6.3,1016,They're dying to play with you,1998,3,33782000,113507520,6
8820000,72.368,87547518,7.7,4088,Life-or-death survival begins.,2016,7,10083906,100093077,8
140000000,65.176,622674139,7.0,8954,Real heroes. Not actual size.,2018,4,154770000,688366260,7
84000000,74.269,275650703,5.9,2882,Be Afraid. Be Kind of Afraid.,2002,6,128612399,422048791,6
48000000,64.861,325771424,6.2,4151,It Ends Here,2014,12,55833600,378937320,6
97000000,59.283,232380243,6.0,5997,The path to paradise begins in hell,2017,9,109513000,262357294,6
185000000,68.68,566652812,6.4,7495,All hail the king,2017,8,208865000,639751024,6
52000000,49.731,894027543,8.0,12031,Fearless lives forever,2018,10,57485999,988347448,8
200000000,59.76,863756051,7.6,15518,Obviously.,2017,4,225800000,975180581,8
250000000,60.955,1153296293,7.4,16916,Divided We Fall,2016,4,285825000,1318563651,7
120000000,62.057,221600160,6.0,3129,Some things were never meant to be controlled.,2017,10,135480000,250186580,6
4500000,60.067,3606395,6.0,654,Life is the symptom. Death is the cure.,2009,7,5665050,4540090,6
40000000,68.164,117195061,7.4,5795,There's been a grave misunderstanding.,2005,12,57408000,168198351,7
100000000,60.385,83672673,6.1,2990,Some scars never heal,2018,11,110550000,92500140,6
51000000,60.58,35808437,6.3,1725,Leaders are born from survival,2018,8,56380500,39586227,6
200000000,55.874,653355901,6.9,7321,Fate of One. Future of All.,2018,11,221100000,722284948,7
120000000,73.038,829000000,6.4,6522,The epic finale that will live forever.,2012,11,144564000,998696300,6
111000000,59.641,295038508,7.2,1964,Built To Fight. Born To Love,2017,9,125319000,333098475,7
150000000,71.586,1274219009,7.3,12420,Only the act of true love will thaw a frozen heart.,2013,11,177045000,1503960696,7
145000000,65.327,521170825,6.8,3785,Grab destiny by the rice dumplings.,2016,1,165778500,595854604,7
50000000,71.947,44664690,5.4,2062,Demons Have Demons Too,2019,10,53960000,48202133,5
37000000,71.879,393616788,6.2,9700,"When you can live forever, what do you live for?",2008,11,48370100,514575226,6
200000000,52.142,1214811252,6.9,16717,Unleash the power behind the armor.,2013,4,236059999,1433841720,7
80000000,50.301,473226958,6.8,4022,They're back to raise a little terror,2015,9,91648000,542128803,7
200000000,60.779,708962323,6.4,8718,No more secrets.,2014,4,232640000,824664974,6
14000000,59.231,8621288,6.6,1417,The Ultimate Human Hunting Experience,2020,11,14840000,9138565,7
25000000,58.372,5958315,5.6,606,This is no longer our planet,2019,3,26980000,6430213,6
62000000,58.4,288175335,7.1,5152,The end will be WCKD,2018,10,68541000,318577832,7
90000000,56.59,962102237,6.8,9848,The game has evolved.,2017,9,101610000,1086213425,7
180000000,60.479,407602906,6.8,9040,"To Fight Monsters, We Created Monsters",2013,11,212453999,481093709,7
34000000,54.217,226945087,7.5,10867,All you need is one killer track.,2017,6,38386000,256221003,8
24000000,37.658,99965753,6.0,2210,Most believe his very existence is a sin. But others know he is a necessary evil.,2007,11,32270400,134413951,6
58800000,47.985,542307423,7.4,9569,The most lethal sniper in U.S. history.,2014,11,68396160,630811994,7
29000000,52.438,26925979,6.6,357,The world of beauty is about to get ugly.,2020,9,30740000,28541537,7
160000000,60.975,1263521126,7.0,12856,Be our guest.,2017,3,180640000,1426515351,7
100000000,49.868,525573161,7.4,11814,Survival is Victory,2017,7,112900000,593372098,7
125000000,62.38,477200000,5.9,5140,Mysterious. Dangerous. Reptilious. You've never seen heroes like this.,2014,7,145400000,555079040,6
175000000,38.95,746846894,5.9,16385,Worst Heroes Ever,2016,3,200077500,853870053,6
110000000,73.269,473990832,6.2,6177,"A rescue pilot survived an earthquake, this is what happens next",2015,5,126016000,543003897,6
15000000,47.764,306515884,6.5,4021,You don't know the real story,2017,3,16935000,346056433,6
68000000,56.31,211817906,7.5,8423,War never ends quietly.,2014,10,79097600,246386588,8
88000000,63.809,243637091,5.7,5578,Game On.,2015,7,100812800,279110651,6
69000000,50.929,177856751,6.1,5983,"Don't worry, summer is coming",2017,12,77901000,200800271,6
12000000,55.879,32726956,6.9,189,Be yourself and you can be anything,2012,6,14456400,39426163,7
12000000,52.503,100000000,6.6,4065,Witness it,2012,1,14456400,120470000,7
170000000,49.216,215832199,6.7,3167,Soar to new heights.,2019,3,183464000,232926109,7
5000000,48.936,86362372,5.4,955,You're one of us now.,2014,1,5816000,100456711,5
29900000,54.255,44400000,7.1,369,0% Contained,2019,8,32268079,47916480,7
125000000,69.375,752100229,6.8,11948,Fire burns brighter in the darkness,2014,11,145400000,874842986,7
165000000,60.332,752600867,6.2,4955,It ain't Ogre... Til it's Ogre,2010,5,208428000,950685415,6
60000000,40.373,286801374,8.5,11063,Miracles do happen.,1999,10,99798000,477036725,8
60000000,45.455,59213931,5.6,1595,Meet Nels Coxman. Citizen of the Year.,2019,7,64751999,63903674,6
40000000,63.927,191540586,8.0,2937,Own your story,2019,12,43168000,206710600,8
130000000,59.988,348807090,6.5,2390,Magic Always Returns,2018,12,143715000,385606237,6
10000000,54.975,18610260,5.6,1302,Das versauteste Stück Kuchen!,2007,10,13446000,25023355,6
200000000,52.561,2187463944,7.9,17848,Nothing on Earth could come between them.,1997,11,345720000,3781250173,8
30000000,62.076,231252591,6.4,1987,Possess them all,2019,6,32375999,249567796,6
180000000,60.37,809342332,7.4,14542,From J.K. Rowling's wizarding world.,2016,11,205794000,925321088,7
140000000,48.913,585174222,7.6,19202,Heroes aren't born. They're built.,2008,4,183022000,764998260,8
20000000,51.722,41627431,6.7,1567,Win or lose... Everyone has their fight.,2008,4,26145999,54419540,7
30000000,54.239,287553595,6.2,3420,This Summer It's All About Sticking Together.,2001,10,47232000,452724379,6
200000000,51.039,1065659812,7.3,11475,Jack is back!,2006,6,277640000,1479348951,7
95000000,51.531,877244782,6.3,5582,The End of the World is Just the Tip of the Iceberg.,2012,6,114446500,1056816788,6
139000000,72.418,821708551,7.2,12456,Go for the Ultimate Spin.,2002,1,212822900,1258117962,7
40000000,50.541,320392818,7.2,5383,The next true story from the case files of Ed and Lorraine Warren,2016,5,45732000,366305108,7
155000000,58.352,440603537,5.9,6319,Reset the future,2015,6,177568000,504755411,6
145000000,50.323,609123048,7.7,6956,The training is over.,2014,9,168664000,708531929,8
200000000,52.198,1332539889,6.9,11122,Darkness rises... and light to meet it,2017,12,225800000,1504437534,7
68000000,60.081,698491347,6.2,6342,It all begins... with a choice.,2010,6,85897600,882334269,6
94000000,49.077,274650803,6.3,5634,Her legend begins,2018,5,103917000,303626462,6
250000000,53.465,873634919,5.9,13906,Justice or revenge,2016,3,285825000,998826802,6
258000000,59.896,890871626,6.2,9044,The battle within.,2007,1,346906800,1197865988,6
20000000,50.065,92924405,7.3,1266,You're never as alone as you think.,2017,3,22580000,104911653,7
140000000,56.942,655011224,7.7,15060,Prepare to be blown out of the water.,2003,9,210994000,987167415,8
230000000,46.48,794861794,6.6,8649,All pirates must die.,2017,5,259670000,897398965,7
20000000,53.837,121463226,7.1,4630,Come and Get Some!,2007,3,26892000,163319453,7
105000000,52.84,408579038,6.0,3147,One small step. One giant mess.,2016,6,120046500,467128414,6
35000000,48.593,469310836,7.3,12552,Some guys just can't handle Vegas.,2009,2,44061500,590815411,7
93000000,60.037,871368364,8.3,17845,One ring to rule them all,2001,12,146419200,1371882352,8
140000000,46.672,268031828,5.8,3448,"Once brothers, now enemies.",2014,3,162848000,311774622,6
175000000,64.972,857611174,7.9,15533,Meet the little voices inside your head.,2015,9,200480000,982479360,8
15000000,50.283,15200000,6.4,283,Who would you become to save your family?,2019,1,16187999,16403839,6
165000000,49.847,494878759,7.8,9417,One adventure will change two worlds,2010,10,208428000,625130848,8
150000000,65.267,1023784195,7.7,12227,Welcome to the urban jungle.,2016,11,171495000,1170492470,8
110000000,65.657,712171856,6.1,6459,Forever is just the beginning,2011,11,136708000,885087182,6
90000000,58.3,146936910,5.9,2697,Hunt forever.,2015,10,103104000,168330924,6
79000000,54.544,926287400,8.3,15411,A New Power Is Rising.,2002,12,120956899,1418238638,8
150000000,60.401,378858340,7.5,17068,What a Lovely Day.,2015,5,171840000,434020114,8
190000000,59.139,1515047671,7.3,7839,Vengeance Hits Home,2015,1,217664000,1735638611,7
59000000,54.111,383257136,7.3,9358,They came. They thawed. They conquered.,2002,10,90334900,586805000,7
104000000,53.662,410902662,7.0,7074,Reports of my death have been greatly exaggerated.,2017,9,117416000,463909105,7
35000000,51.317,75836683,6.8,2039,No rules this time,2018,6,38692500,83837453,7
7000000,53.707,3719383,6.3,707,All guns. No control.,2017,3,7903000,4199183,6
62000000,50.105,102084362,6.5,3026,There is no equal,2018,7,68541000,112854262,6
80000000,46.964,660998756,6.6,7191,The Chill is Gone.,2006,3,111056000,917598473,7
250000000,51.042,1081041287,7.7,16756,The Legend Ends,2012,7,301175000,1302330438,8
35000000,48.66,92503612,6.0,865,Halloween comes to life.,2018,11,38692500,102262743,6
250000000,53.236,1021103568,7.3,14033,From the smallest beginnings come the greatest legends.,2012,11,301175000,1230123468,7
60000000,37.623,205754447,6.1,3301,The world's leaders have assembled. So have their enemies.,2016,2,68598000,235239059,6
25000000,40.135,48818723,6.6,1253,The system failed. She won't.,2018,6,27637500,53969098,7
40000000,48.377,309232797,7.9,5718,"Hell, any of them could have done it.",2019,11,43168000,333724034,8
50000000,53.774,234989584,6.2,3296,Save the best piece for last.,2012,4,60235000,283091951,6
50000000,43.029,351266433,6.7,1050,Who said the countryside was peaceful?,2018,7,55275000,388325041,7
18000000,54.733,17643857,6.8,487,A lot can happen between lost and found.,2019,10,19425600,19041250,7
100000000,46.209,190514361,6.7,1258,They come in pieces,2019,1,107920000,205603098,7
1200000,59.23,103911669,7.4,6047,Live or die. Make your choice.,2004,1,1768440,153134626,7
165000000,49.222,471222889,7.3,9315,The story of a regular guy just looking for a little wreck-ognition.,2012,1,198775500,567682214,7
5000000,42.87,54418872,6.9,1757,No rescue. No refuge.,2015,8,5728000,62342259,7
150000000,45.547,449326618,6.8,15470,Two worlds. One hero.,2011,4,186420000,558423120,7
170000000,44.697,644571402,6.6,12502,Delve into the darkness,2013,10,200650999,760787625,7
200000000,45.788,623933331,6.8,15030,"It's not the armor that makes the hero, but the man inside.",2010,4,252640000,788152583,7
35000000,38.35,67131266,6.0,1917,The declassified true story of the horse soldiers,2018,1,38692500,74213614,6
150000000,48.675,488533726,7.1,6327,For freedom. For family. For the planet.,2017,11,169350000,551554576,7
177200000,52.878,225874228,6.6,5318,A universe without boundaries needs heroes without limits.,2017,7,200058800,255012003,7
300000000,44.734,961000000,7.2,10250,"At the end of the world, the adventure begins.",2007,5,403380000,1292160600,7
140000000,43.086,150680864,5.6,2953,The battle for eternity begins,2016,2,160062000,172273431,6
40000000,47.004,31672678,6.6,1253,Courage runs deep,2018,10,44220000,35014145,7
50000000,54.082,709827462,6.0,6660,The Next Chapter Begins.,2009,11,62944999,893601791,6
20000000,56.481,207945075,7.8,7987,Live boldly,2016,1,22866000,237743604,8
217000000,46.714,605425157,6.0,4119,"For one world to live, the other must die.",2017,6,244993000,683525002,6
45000000,63.058,763455561,8.2,13069,Life's greatest adventure is finding your place in the Circle of Life.,1994,6,84465000,1433006087,8
108000000,50.027,630161890,7.7,14719,Bring Him Home,2015,9,123724800,721913461,8
61000000,58.009,312296056,6.7,7538,The Maze Was Just the Beginning.,2015,9,69881600,357766361,7
200000000,51.595,1066969703,7.8,10713,No toy gets left behind.,2010,6,252640000,1347796128,8
3500000,44.03,7766240,6.1,481,A new level of terror,2007,9,4706100,10442486,6
85000000,37.245,252712101,7.5,5170,Zero to Hero!,1997,6,146931000,436838137,8
130000000,34.345,321885765,6.9,4638,His brain is off the chain.,2010,10,164216000,406606098,7
95000000,24.481,190213455,5.9,1608,What would you do if you knew you couldn't be seen?,2000,4,154631500,309610440,6
60000000,24.931,256697520,6.4,2691,There is no turning back,2004,7,88422000,378295135,6
14000000,36.88,10076790,6.4,942,The right place to do wrong.,2014,10,16284800,11721322,6
2000000,46.573,2006704,5.0,314,This was not the plan.,2018,7,2211000,2218411,5
30000000,46.414,140161792,6.8,1685,Bigger. Better. More absorbent.,2004,11,44211000,206556432,7
115000000,56.334,562816256,7.8,13269,We Scare Because We Care.,2001,1,181056000,886097913,8
95000000,42.964,374251247,7.5,7417,"In this town, it can all change… like that",2019,7,102524000,403891945,8
176000003,43.743,183987723,5.4,5205,Expand your universe.,2015,4,201625603,210776335,5
100000000,60.638,392000694,8.0,16148,EARN. SPEND. PARTY.,2013,12,118029999,462678419,8
10000000,46.38,28646544,7.4,759,The superhero movie to end all superhero movies. Hopefully.,2018,7,11055000,31668754,7
245000000,46.309,2068223624,7.4,15019,Every generation has a story.,2015,12,280672000,2369356983,7
120000000,49.919,59522646,6.1,1535,Let the mystery unfold.,2018,10,132659999,65802285,6
40000000,41.691,120654337,7.5,3491,No one can outrun their destiny.,2006,7,55528000,167492350,8
94000000,57.065,1118888979,8.5,16375,The eye of the enemy is moving.,2003,1,141667400,1686277580,8
12000000,45.011,24829644,5.3,881,Fear The Second Coming,2004,11,17684400,36591446,5
40000000,49.15,173930596,6.9,7953,Time Is Power,2011,10,49711999,216160944,7
160000000,38.934,825532764,8.3,27342,Your mind is the scene of the crime.,2010,7,202112000,1042812987,8
38000000,42.486,41657844,6.7,1825,Stop the unstoppable,2018,1,42009000,46052746,7
5000000,42.711,205703818,5.9,1496,It Runs In The Family,2011,10,6213999,255648705,6
150000000,51.053,474968763,7.0,10455,Prepare for a taste of adventure.,2005,7,215280000,681675168,7
55000000,35.687,29819114,6.8,1475,No peace without sacrifice,2017,12,62095000,33665779,7
50000000,44.498,113244290,6.6,2405,Heroes never die... They just reload.,2008,1,65364999,148044260,7
210000000,48.976,1104054072,5.9,5770,This is not war. It's extinction.,2014,6,244272000,1284235696,6
200000000,49.422,531865000,6.8,11277,Remember Philly!,2013,6,236059999,627760259,7
90000000,43.866,334901337,6.8,8236,You Haven't Seen Anything Yet,2016,2,102897000,382892698,7
2500000,33.691,6341684,5.1,1965,One night can cost you everything.,2015,6,2864000,7265033,5
90000000,49.582,886686817,6.7,5847,You Won't Believe Your Ice!,2009,6,113300999,1116250033,7
95000000,38.873,73515024,4.4,507,You will believe.,2019,12,102524000,79337413,4
85000000,42.437,358375603,6.9,6222,Even monsters need a vacation,2012,9,102399500,431735088,7
45000000,51.335,72281712,7.1,2197,Dare to go back,2019,10,48564000,78006423,7
250000000,52.797,392952373,6.6,5680,Never tell him the odds.,2018,5,276375000,434408848,7
4200000,38.574,5835247,6.8,509,There IS a fate worse than death.,1990,10,9187920,12765186,7
80000000,49.265,1031552585,6.4,5141,Oh brother.,2017,6,90320000,1164622868,6
250000000,44.856,958400000,7.6,9341,Beyond darkness... beyond desolation... lies the greatest danger of all.,2013,11,295075000,1131199520,8
30000000,35.333,210819611,7.4,6657,You are not welcome here.,2009,5,37767000,265400808,7
25000000,39.633,226830568,7.3,8107,They took his daughter.  He'll take their lives.,2008,2,32682499,296535601,7
18300000,38.989,125983972,7.9,289,Fate continues even after death,2017,12,20660700,142235904,8
